,description,link,location,phone,service_name,va_facility
3115,The goal of the Minority Veterans Program is to increase local awareness of minority veteran related issues and develop strategies for participation in benefit programs.,http://www.saginaw.va.gov/services/Minority_Veterans_Program_Coordinator.asp,Aleda E. Lutz VA Medical Center,989-497-2500 Ext. 13018,Minority Veterans Program Coordinator,saginaw
3116,"Palliative Care is the medical specialty focused on relief of the pain, stress and other debilitating symptoms of serious illness.",http://www.saginaw.va.gov/services/Palliative_Care.asp,Aleda E. Lutz VA Medical Center,989-497-2500 Ext. 11162/11160,Palliative Care Options,saginaw
3117,"Prescriptions may be refilled by mail, phone, or online.",http://www.saginaw.va.gov/services/pharmacy.asp,Outpatient Pharmacy,989-321-4990  800-406-5143 Ext. 13990,Pharmacy,saginaw
3118,PACT is a team-based model of care led by a personal provider who is supported by a fully engaged and collaborative team.,http://www.saginaw.va.gov/services/PACT.asp,Aleda E. Lutz VA Medical Center,989-497-2500  800-406-5143,Primary Care / Patient Aligned Care Team,saginaw
3119,Pulmonary Rehabilitation - A rehabilitation program designed for the Veteran to strengthen and improve lung function.,http://www.saginaw.va.gov/services/Pulmonary_Rehabilitation.asp,Aleda E. Lutz VA Medical Center,989-497-2500  800-406-5143,Pulmonary Rehabilitation,saginaw
3120,"Our mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.saginaw.va.gov/services/socialwork.asp,Aleda E. Lutz VA Medical Center,989-497-2500  800-406-5143,Social Work,saginaw
3121,"We offer a variety Specialty Services such as neurology, pulmonology, cardiology, urology, podiatry, geriatrics, and palliative care...",http://www.saginaw.va.gov/services/specialty.asp,Aleda E. Lutz VA Medical Center,989-497-2500  800-406-5143,Specialty Care,saginaw
3122,The Aleda E. Lutz VA Medical Center provides support to Veterans who are struggling with suicidal behavior.,http://www.saginaw.va.gov/services/Suicide_and_Crisis_Prevention.asp,Aleda E. Lutz VA Medical Center,989-497-2500 Ext. 11778,Suicide and Crisis Prevention,saginaw
3123,The VA is seeking Veterans and other interested persons to share ideas for improving their mental health services.,http://www.saginaw.va.gov/services/Veterans_Mental_Health_Advocacy_Council_of_Mid_Michigan.asp,"Conference Room 7, VA Healthcare Annex4241 Barnard St.Saginaw, MI 48603",989-497-2500 Ext. 11798,Veterans Mental Health Advocacy Council of Mid-Michigan,saginaw
3124,Chief Business Office processes payment for bills relating to care received outside the VA.,http://www.salem.va.gov/services/Billing_and_Insurance.asp,Building 10Building 10,800-936-7540  800-936-7540,Billing - Non VA Care,salem
3125,Visual Impairment Services Team - VIST - assists legally blind and severely visually impaired Veterans and their families adjust to vision loss.,http://www.salem.va.gov/services/Visual_Impairment_Services_Team_VIST.asp,Salem VAMC Building 143 Eye Clinic 1FG-120,540-982-2463 Ext. 3356  540-982-2463 Ext. 2826,Blind Rehabilitation,salem
3126,"Our Extended Care and Rehabilitation Program provides physical medicine and rehabilitation, transitional care, as well as home and community care.",http://www.salem.va.gov/services/ecrc.asp,Salem VA Medical Center,540-982-2463  888-982-2463,Extended Care and Rehabilitation,salem
3127,Our Hospice and Palliative Care Service provides inpatient and outpatient consultation at the Salem VAMC.,http://www.salem.va.gov/services/hospice_palliativecare.asp,Salem VA Medical Center,540-982-2463 Ext. 1328/2871/4284  888-982-2463 Ext. 1328/2871/4284,Hospice and Palliative Care,salem
3128,"Our Mental Health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",http://www.salem.va.gov/services/mentalhealth.asp,Salem VA Medical Center,540-982-2463  888-982-2463,Mental Health,salem
3129,"The Salem VAMC pharmacy processes over 1,800 prescriptions daily.",http://www.salem.va.gov/services/pharmacy.asp,Outpatient PharmacyBuilding 143,888-982-2463 Ext. 1099  540-983-1099,Pharmacy,salem
3130,Our Primary Care program offers an extensive range of treatments with an emphasis on health care prevention.,http://www.salem.va.gov/services/primary.asp,Building 143,540-982-2463 Ext. 7  888-982-2463 Ext. 7,Primary Care,salem
3131,The predoctoral internship program at the Salem VA Medical Center is fully accredited by the American Psychological Association.,http://www.salem.va.gov/services/Psychology.asp,"1970 Roanoke Boulevard - 116CSalem, VA 24153",540-982-2463 Ext. 2934,Psychology Services,salem
3132,Our Research and Development program enhances our ability to provide state-of-the-art medical techniques and treatments to Veterans.,http://www.salem.va.gov/services/research.asp,Salem VA Medical Center,540-982-2463  888-982-2463,Research,salem
3133,Social Work is an integral part of health care. Our Social Work program assists Veterans with counseling and community services.,http://www.salem.va.gov/services/socialwork.asp,Salem VA Medical Center,540-982-2463  888-982-2463,Social Work,salem
3134,"Salem VAMC offers Medical and Surgical specialties, such as Orthopedic, Podiatry, Neurology, Cardiology, Oncology, and Audiology.",http://www.salem.va.gov/services/specialty.asp,Salem VA Medical Center,540-982-2463  888-982-2463,Specialty Care,salem
3135,"Our Spinal cord injury program provides comprehensive care to Veterans who have suffered spinal cord injuries, including surgery and rehabilitation.",http://www.salem.va.gov/services/sci.asp,Spinal Cord ClinicBuilding 143,540-982-2463  888-982-2463,Spinal Cord Injury,salem
3136,The Virtual Lifetime Electronic Record  program allows for the electronic sharing of Veteran health information.,http://www.salem.va.gov/services/Virtual_Lifetime_Electronic_Record.asp,"Building 143, Main LobbyMy Healthe Vet Connection",540-982-2463 Ext. X4413,Virtual Lifetime Electronic Record,salem
3137,Visual Impairment Services Team - VIST - assists legally blind and severely visually impaired Veterans and their families adjust to vision loss.,http://www.salem.va.gov/services/Visual_Impairment_Services_Team_VIST.asp,Salem VAMC Building 143 Eye Clinic 1FG-120,540-982-2463 Ext. 3356  540-982-2463 Ext. 2826,Visual Impairment Services Team - VIST,salem
3138,Womens Veterans Health program offers gender-specific services to female Veterans,http://www.salem.va.gov/services/Women_Veterans_Health_Program.asp,Salem VAMC,540-982-2463 Ext. 3830,Women Veterans Health Program,salem
3139,"Provides vision rehabilitation to veterans with visual impairment, legal blindness, functional vision difficulty, and visual complications of traumatic brain injury.",http://www.salisbury.va.gov/services/Advanced_Low_Vision_Clinic.asp,Building 3,704-638-9000 Ext. 2990  336-768-3296 Ext. 1483,Advanced Low Vision Clinic,salisbury
3140,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,http://www.salisbury.va.gov/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,CT scan,salisbury
3141,We provide comprehensive noninvasive cardiology care.,http://www.salisbury.va.gov/services/Cardiology.asp,Building 25th Floor,704-638-9000,Cardiology,salisbury
3142,Geriatrics and Extended Care Services is committed to optimizing the health and well-being of Veterans.,http://www.salisbury.va.gov/services/Geriatrics.asp,Building 42,704-638-9000 Ext. 3417,Community Living Center (CLC),salisbury
3143,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",http://www.salisbury.va.gov/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Dental,salisbury
3144,"Dental Services deals with the prevention or treatment of diseases of the teeth, gums, and oral cavity.",http://www.salisbury.va.gov/services/Dental_Service.asp,Building 21st floor next to Pharmacy,704-638-3373,Dental Services,salisbury
3145,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,http://www.salisbury.va.gov/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,Diagnostics,salisbury
3146,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",http://www.salisbury.va.gov/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Eligibility,salisbury
3147,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",http://www.salisbury.va.gov/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Enrollment,salisbury
3148,"Our extended care and rehabilitation program provides physical medicine and rehabilitation, transitional care, as well as home and community care.",http://www.salisbury.va.gov/services/ecrc.asp,Buildings 42 and 43,704-638-9000  800-469-8262,Extended Care and Rehabilitation,salisbury
3149,From Warrior to Soul Mate Weekend Couples Retreats. Reclaim your Relationship after Military Service.,http://www.salisbury.va.gov/services/From_Warrior_to_Soul_Mate.asp,Salisbury VAMCChaplains Office,704-638-3330,From Warrior to Soul Mate,salisbury
3150,Geriatrics and Extended Care Services is committed to optimizing the health and well-being of Veterans.,http://www.salisbury.va.gov/services/Geriatrics.asp,Building 42,704-638-9000 Ext. 3417,Geriatrics and Extended Care,salisbury
3151,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",http://www.salisbury.va.gov/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Hardship,salisbury
3152,"The hoptel provides overnight accomodations for Veterans with scheduled clinic appointments or procedures offering a bed, linens, private bath, and an evening meal.",http://www.salisbury.va.gov/services/Hoptel.asp,,704-638-9000,Hoptel,salisbury
3153,Geriatrics and Extended Care Services is committed to optimizing the health and well-being of Veterans.,http://www.salisbury.va.gov/services/Geriatrics.asp,Building 42,704-638-9000 Ext. 3417,Hospice,salisbury
3154,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,http://www.salisbury.va.gov/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,Imaging/Radiology,salisbury
3155,Please call or visit our Lost and Found Department if you have misplaced or found a personal item during your visit.,http://www.salisbury.va.gov/services/Lost_and_Found.asp,"Building 2, First floor, Room 1016",704-638-9000 Ext. 0  800-469-8262 Ext. 0,Lost and Found,salisbury
3156,Radiology is a specialty service that deals with imaging techniques. These images help with the diagnosis and treatment of any number of disorders.,http://www.salisbury.va.gov/services/Imaging_Radiology.asp,Building 22nd Floor,704-638-9000 Ext. 3390,MRI,salisbury
3157,"If you served in the active military service and were separated under any condition other than dishonorable, you may qualify for VA health care benefits.",http://www.salisbury.va.gov/services/Eligibility.asp,"Eligibility OfficeBuilding 3, First floor",704-638-9000 Ext. 3470  800-469-8262 Ext. 3470,Means test,salisbury
